,Speed.Number,order,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pm2.5,UHC_index_2019,conf_death,conf_cases,index_stringency,gov_responses ,Density(P/Km²),%recovered,%death,Index_containment_health
121,10.6875,45,0.076075404,0.053806682,0.059401383,0.030660906,0.000267496,0.00027487,0.127649153,0.000365585,6284.192672,24.3,65,264,69563,45,54,216,99.62,0.38,43.90602545
122,0.875,53,0.096194656,0.078968967,0.027031629,0.033139576,0.000674173,0.001124021,0.209435357,0.001888904,15683.6565,18.7,71,207,10543,34,50,48,98.04,1.96,38.23978947
123,7.322033898,2,0.062209774,0.039255296,0.017180393,0.014458693,0.000644069,0.000580623,0.201784499,0.000501596,60297.79378,18.3,86,22,37340,85,77,203,99.94,0.06,64.10862611
124,11.125,45,0.055935516,0.039108018,0.044340678,0.022738885,5.57E-05,4.24E-05,0.114210935,0.000212321,17510.08899,17.5,77,650,1378,69,74,99,52.83,47.17,42.66017101
125,22.52941176,44,0.058650551,0.039896251,0.04417979,0.022061913,8.45E-05,6.20E-05,0.099383934,0.000156859,23442.70428,15.8,79,6288,85005,86,82,180,92.6,7.4,63.28892784
126,0.166666667,55,0.064333687,0.049535438,0.022622186,0.025704704,0.002339393,0.003437573,0.183581685,0.004517364,309.0553548,29.5,25,1983,295636,48,57,17,99.33,0.67,53.00363996
127,14.11764706,44,0.087734658,0.066981281,0.049990552,0.059346518,0.119881961,0.097514301,0.481066203,0.005611943,6132.479841,23.6,69,0,91337,83,78,138,100,0,56.71343219
128,146.65,1,0.065918753,0.050010643,0.032154505,0.02601942,0.000381958,0.000374064,0.198083186,0.001004512,29742.83886,24.6,86,28607,116781.6579,56.64963504,59.00729927,329,50,50,50
129,507.48,11,0.061349465,0.037759196,0.036399081,0.016707359,0.004013588,0.002788595,0.051712426,0.00015565,28100.85228,9.5,83,3419,639435,85,83,354,99.47,0.53,59.61112897
130,1.4,6,0.095378805,0.071447478,0.025407897,0.031016604,9.95E-05,0.000114978,0.222613867,0.003208977,4104.630983,15.2,66,5,213131,70,62,5,100,0,66.61586574
131,0.222222222,52,0.069299469,0.042210564,0.033975061,0.024899465,0.002585053,0.003121031,0.519769577,0.000973579,3015.02443,47.9,44,2032,459,44,52,626,42.7,57.3,44.54729194
132,0.5,53,0.093928946,0.079630362,0.031606633,0.01950318,0.00630832,0.006199903,0.258166725,0.000210296,5379.119415,23.6,71,428,66239,40,46,728,99.35,0.65,42.1342613
133,34.56862745,10,0.072364801,0.040813606,0.044989408,0.025126367,0.000399825,0.000288183,0.089128974,0.000134148,53744.42903,5.9,86,1818,32550,68,69,66,94.41,5.59,54.89030035
134,252.8846154,35,0.072616659,0.04117756,0.038096507,0.019796882,0.001982559,0.001215374,0.072114425,0.000129909,80450.04582,10.2,83,294,57448,66,69,164,99.49,0.51,54.39776408
135,1,55,0.049655799,0.040628532,0.020967791,0.025460951,0.033789694,0.027851299,0.28883142,0.00523322,1004.841121,25.6,43,164,16474,79,76,123,99,1,57.7883115
136,6.85,1,0.059180768,0.049504829,0.017791173,0.022905827,0.006622296,0.007607439,0.191727682,0.003037621,6578.188865,26.2,80,196,28527,78,68,263,99.31,0.69,57.02573305
137,0.666666667,55,0.080763567,0.07213543,0.023264917,0.015074767,0.011347416,0.01005621,0.205801561,0.000238201,30762.01,17.6,75,488,118407,78,79,2,99.59,0.41,59.45600818
138,0.2,56,0.058075112,0.042175003,0.032757795,0.032065987,0.012535986,0.013115975,0.418772869,0.00747396,483.02,32.2,44,3539,12683,69,64,47,72.1,27.9,48.97887546
139,1,60,0.082948623,0.058561274,0.037162503,0.038976771,0.002307874,0.003704866,0.32091685,0.007626823,2000.601161,17.9,52,17025,85833,45,54,50,80.16,19.84,44.00472827
140,1,45,0.052801518,0.040468184,0.031483367,0.032653287,0.017231355,0.015673929,0.330839638,0.004668267,624.5449459,32.7,43,16,985346,63,68,83,100,0,56.11858299
141,6.125,53,0.122600433,0.10373595,0.023904019,0.014503591,0.006369734,0.0057763,0.21673023,0.000182096,16238.19319,22,74,3840,3843,76,76,40,0.08,99.92,57.47745804
142,3.333333333,43,0.074203923,0.049137555,0.035022585,0.027813938,0.000320237,0.000373077,0.155041819,0.00034314,3482.186729,35.7,70,823,313911,60,67,83,99.74,0.26,59.70742421
143,60.90909091,50,0.064164803,0.051416755,0.058726796,0.0421663,6.10E-05,6.69E-05,0.120107688,0.000339017,10513.64842,42,74,282,13189,56.64963504,59.00729927,3,97.86,2.14,52.42831275
144,1,60,0.056420273,0.043310746,0.022691207,0.026038768,0.051189771,0.038950176,0.427024088,0.005255532,631.5227198,48.4,45,27,13456,38,51,541,99.8,0.2,44.00016799
145,2.473684211,42,0.056094356,0.038409192,0.040839179,0.021806133,0.003847838,0.002970295,0.144830094,0.000803627,2640.675677,18.3,68,0,56717,52,64,203,100,0,55.28506416
146,2.886792453,8,0.115095983,0.06522606,0.045860265,0.033984211,0.000647887,0.000912055,0.194144293,0.000269927,39811.6347,39.4,76,70,116781.6579,37,33,508,50,50,24.53025227
147,99.35294118,10,0.06653151,0.034141373,0.054326458,0.0272219,0.001295158,0.000793141,0.084467356,0.000171559,40361.41738,10.5,87,713,2019,56.64963504,59.00729927,16,64.69,35.31,40.70799967
148,424.8166667,1,0.069095661,0.043102821,0.044245417,0.035421668,0.004085373,0.002477141,0.06147617,5.98E-05,59927.92983,7.4,84,42,25635,90,85,18,99.84,0.16,62.79848778
149,13.75,53,0.079417406,0.053948439,0.039234247,0.02165868,0.003592015,0.003293354,0.144262635,0.000273113,16437.24487,8.6,80,98,710,33,50,55,86.2,13.8,47.36451546
150,6.142857143,54,0.09003827,0.06865084,0.032857806,0.018321346,0.000558049,0.000418557,0.167581874,0.001085121,1826.566919,25.3,73,710,3310,14,16,19,78.55,21.45,26.55805778
151,8.75,53,0.064752974,0.059293845,0.039509123,0.030302491,0.003269086,0.003096062,0.217852217,0.000305132,15692.41,15.8,74,47,31282,45,51,226,99.85,0.15,44.80811023
152,1.593220339,2,0.0732934,0.062616413,0.034561215,0.033408903,0.002842864,0.003757147,0.396342435,0.006544933,2365.621666,29.7,75,67,2519,56.64963504,59.00729927,6,97.34,2.66,51.79796498
153,0.5,57,0.061951725,0.048508017,0.023910362,0.027700757,0.09702224,0.072738095,0.318848945,0.00572636,1534.865371,24.7,53,33,3954,56.64963504,59.00729927,214,99.17,0.83,49.65090518
154,1.5,59,0.09414739,0.069070655,0.055658947,0.064222633,0.117721893,0.07826168,0.288158558,0.004786903,1602.403507,19.4,54,1402,3842,32,49,83,63.51,36.49,45.87784857
